hex,binary,decimal,rom_value,ascii_value,rom_unicode_name,ascii_unicode_name
0xE7,1110_0111,231,㌮,ç,SQUARE PIASUTORU,LATIN SMALL LETTER C WITH CEDILLA
0xE8,1110_1000,232,ƒ,è,LATIN SMALL LETTER F WITH HOOK,LATIN SMALL LETTER E WITH GRAVE
0xE9,1110_1001,233,UNMAPPED,é,UNMAPPED,LATIN SMALL LETTER E WITH ACUTE
0xEA,1110_1010,234,Ã,ê,LATIN CAPITAL LETTER A WITH TILDE,LATIN SMALL LETTER E WITH CIRCUMFLEX
0xEB,1110_1011,235,ã,ë,LATIN SMALL LETTER A WITH TILDE,LATIN SMALL LETTER E WITH DIAERESIS
0xEC,1110_1100,236,Õ,ì,LATIN CAPITAL LETTER O WITH TILDE,LATIN SMALL LETTER I WITH GRAVE
0xED,1110_1101,237,õ,í,LATIN SMALL LETTER O WITH TILDE,LATIN SMALL LETTER I WITH ACUTE
0xEE,1110_1110,238,Ø,î,LATIN CAPITAL LETTER O WITH STROKE,LATIN SMALL LETTER I WITH CIRCUMFLEX
0xEF,1110_1111,239,ø,ï,LATIN SMALL LETTER O WITH STROKE,LATIN SMALL LETTER I WITH DIAERESIS
0xF0,1111_0000,240,˙,ð,DOT ABOVE,LATIN SMALL LETTER ETH
0xF1,1111_0001,241,¨,ñ,DIAERESIS,LATIN SMALL LETTER N WITH TILDE
0xF2,1111_0010,242,˚,ò,RING ABOVE,LATIN SMALL LETTER O WITH GRAVE
0xF3,1111_0011,243,ˋ,ó,MODIFIER LETTER GRAVE ACCENT,LATIN SMALL LETTER O WITH ACUTE
0xF4,1111_0100,244,´,ô,ACUTE ACCENT,LATIN SMALL LETTER O WITH CIRCUMFLEX
0xF5,1111_0101,245,½,õ,VULGAR FRACTION ONE HALF,LATIN SMALL LETTER O WITH TILDE
0xF6,1111_0110,246,¼,ö,VULGAR FRACTION ONE QUARTER,LATIN SMALL LETTER O WITH DIAERESIS
0xF7,1111_0111,247,×,÷,MULTIPLICATION SIGN,DIVISION SIGN
0xF8,1111_1000,248,÷,ø,DIVISION SIGN,LATIN SMALL LETTER O WITH STROKE
0xF9,1111_1001,249,≥,ù,GREATER-THAN OR EQUAL TO,LATIN SMALL LETTER U WITH GRAVE
0xFA,1111_1010,250,≤,ú,LESS-THAN OR EQUAL TO,LATIN SMALL LETTER U WITH ACUTE
0xFB,1111_1011,251,≪,û,MUCH LESS-THAN,LATIN SMALL LETTER U WITH CIRCUMFLEX
0xFC,1111_1100,252,≫,ü,MUCH GREATER-THAN,LATIN SMALL LETTER U WITH DIAERESIS
0xFD,1111_1101,253,≠,ý,NOT EQUAL TO,LATIN SMALL LETTER Y WITH ACUTE
0xFE,1111_1110,254,√,þ,SQUARE ROOT,LATIN SMALL LETTER THORN
0xFF,1111_1111,255,‾,ÿ,OVERLINE,LATIN SMALL LETTER Y WITH DIAERESIS
